"session_id","campaign","product","event_id","type"
"0001","patriotic","diet","0001","load"
"0002","funny","classic","0002","load"
"0002","funny","classic","0003","click"
"0003","funny","diet","0004","load"
"0004","patriotic","diet","0005","load"
"0004","patriotic","diet","0006","click"
"0005","patriotic","diet","0007","load"
"0005","patriotic","diet","0008","click"
"0005","patriotic","diet","0009","click"
"0005","patriotic","diet","0010","click"
"0006","patriotic","classic","0011","load"
"0006","patriotic","classic","0012","click"
"0007","funny","classic","0013","load"
"0007","funny","classic","0014","click"
"0008","funny","diet","0015","load"
"0008","funny","diet","0016","click"
"0009","funny","diet","0017","load"
"0010","funny","classic","0018","load"
"0010","funny","classic","0019","click"
"0010","funny","classic","0020","click"
"0011","patriotic","classic","0021","load"
"0012","funny","classic","0022","load"
"0012","funny","classic","0023","click"
"0012","funny","classic","0024","click"
"0013","funny","classic","0025","load"
"0014","patriotic","classic","0026","load"
"0015","funny","diet","0027","load"
"0016","funny","classic","0028","load"
"0017","patriotic","diet","0029","load"
"0017","patriotic","diet","0030","click"
"0018","patriotic","diet","0031","load"
"0018","patriotic","diet","0032","click"
"0019","patriotic","classic","0033","load"
"0020","patriotic","classic","0034","load"
"0020","patriotic","classic","0035","click"
"0021","patriotic","classic","0036","load"
"0021","patriotic","classic","0037","click"
"0022","patriotic","diet","0038","load"
"0023","funny","diet","0039","load"
"0024","patriotic","diet","0040","load"
"0025","patriotic","classic","0041","load"
"0025","patriotic","classic","0042","click"
"0025","patriotic","classic","0043","click"
"0026","funny","diet","0044","load"
"0027","funny","diet","0045","load"
"0028","funny","diet","0046","load"
"0029","funny","classic","0047","load"
"0029","funny","classic","0048","click"
"0029","funny","classic","0049","click"
"0029","funny","classic","0050","click"
"0029","funny","classic","0051","click"
"0030","patriotic","diet","0052","load"
"0031","patriotic","diet","0053","load"
"0032","patriotic","diet","0054","load"
"0033","patriotic","classic","0055","load"
"0034","patriotic","classic","0056","load"
"0035","funny","classic","0057","load"
"0036","patriotic","diet","0058","load"
"0037","funny","classic","0059","load"
"0038","patriotic","diet","0060","load"
"0039","patriotic","classic","0061","load"
"0040","funny","classic","0062","load"
"0040","funny","classic","0063","click"
"0040","funny","classic","0064","click"
"0041","funny","diet","0065","load"
"0042","patriotic","diet","0066","load"
"0042","patriotic","diet","0067","click"
"0043","funny","classic","0068","load"
"0043","funny","classic","0069","click"
"0043","funny","classic","0070","click"
"0044","patriotic","diet","0071","load"
"0044","patriotic","diet","0072","click"
"0045","funny","classic","0073","load"
"0045","funny","classic","0074","click"
"0045","funny","classic","0075","click"
"0046","funny","classic","0076","load"
"0046","funny","classic","0077","click"
"0046","funny","classic","0078","click"
"0046","funny","classic","0079","click"
"0046","funny","classic","0080","click"
"0046","funny","classic","0081","click"
"0047","funny","diet","0082","load"
"0048","patriotic","diet","0083","load"
"0048","patriotic","diet","0084","click"
"0048","patriotic","diet","0085","click"
"0049","funny","diet","0086","load"
"0050","funny","diet","0087","load"
"0050","funny","diet","0088","click"
"0051","funny","diet","0089","load"
"0051","funny","diet","0090","click"
"0052","funny","diet","0091","load"
"0053","patriotic","diet","0092","load"
"0053","patriotic","diet","0093","click"
"0054","patriotic","diet","0094","load"
"0055","patriotic","diet","0095","load"
"0055","patriotic","diet","0096","click"
"0056","funny","diet","0097","load"
"0057","patriotic","diet","0098","load"
"0058","funny","diet","0099","load"
"0059","patriotic","diet","0100","load"
"0060","funny","diet","0101","load"
"0061","funny","diet","0102","load"
"0062","patriotic","diet","0103","load"
"0063","patriotic","diet","0104","load"
"0064","patriotic","classic","0105","load"
"0065","funny","diet","0106","load"
"0065","funny","diet","0107","click"
"0066","funny","classic","0108","load"
"0066","funny","classic","0109","click"
"0066","funny","classic","0110","click"
"0067","funny","diet","0111","load"
"0067","funny","diet","0112","click"
"0068","patriotic","diet","0113","load"
